listing_db_id,latitude,longitude,cluster
1,38.9298,-76.9906,2585
2,38.9571,-77.0276,2683
3,38.8734,-77.0154,2606
4,38.9072,-77.0829,2529
5,38.9297,-76.9905,2585
6,38.9025,-76.9744,2678
7,38.9226,-77.044,853
8,38.9388,-76.9948,2568
9,38.9094,-77.0192,2744
10,38.8803,-77.0171,779
11,38.9326,-77.0385,2688
12,38.9562,-77.0208,782
13,38.9652,-77.0314,2627
14,38.912,-77.0374,837
15,38.8955,-76.9805,799
16,38.9072,-77.0829,2529
17,38.9305,-77.0583,2643
18,38.8993,-76.9771,799
19,38.9326,-77.0385,2688
20,38.9326,-77.0385,2688
21,38.9086,-76.9837,2666
22,38.9322,-77.0294,859
23,38.9249,-76.9902,2593
24,38.9028,-77.0183,819
25,38.9062,-76.9857,2658
26,38.8795,-77.0166,779
27,38.9048,-76.9837,2691
28,38.9238,-77.0405,851
29,38.9334,-77.0339,2719
30,38.8982,-76.9812,2648
31,38.8976,-76.9908,2657
32,38.9334,-77.0346,2719
33,38.9239,-76.9927,2593
34,38.9121,-77.0361,837
35,38.9775,-77.0183,2465
36,38.8976,-76.9908,2657
37,38.8976,-76.9908,2657
38,38.9206,-76.9869,727
39,38.908,-77.0414,837
40,38.9211,-77.0094,2702
41,38.904,-77.0011,2619
42,38.9586,-76.9938,711
1498,38.8819,-77.015,2582
43,38.901,-77.0159,814
44,38.9109,-77.0403,837
45,38.929,-77.0206,2764
46,38.9341,-77.0324,2765
47,38.9502,-77.0223,2631
48,38.9222,-77.0811,739
49,38.8732,-76.9733,2343
50,38.8919,-77.0027,746
51,38.933,-77.0294,2753
52,38.9058,-76.9755,2629
53,38.8734,-77.0154,2606
54,38.9094,-77.0324,845
55,38.9478,-77.0167,2670
56,38.905,-76.9814,822
57,38.9161,-77.0162,2799
58,38.8731,-77.0126,2595
59,38.9158,-77.0126,824
60,38.9213,-76.9866,727
61,38.9212,-77.0451,853
62,38.8775,-77.0163,788
63,38.8775,-77.0163,788
25757,37.7507,-81.1414,10
64,38.8775,-77.0163,788
65,38.8775,-77.0163,788
66,38.8775,-77.0163,788
67,38.8775,-77.0163,788
68,38.8775,-77.0163,788
69,38.8775,-77.0163,788
70,38.8775,-77.0163,788
71,38.8775,-77.0163,788
72,38.9299,-77.0292,2777
73,38.919,-77.0094,2702
74,38.9054,-77.018,2789
75,38.9287,-77.0197,2764
76,38.8775,-77.0163,788
77,38.8775,-77.0163,788
78,38.8775,-77.0163,788
79,38.8775,-77.0163,788
80,38.907,-77.0324,855
81,38.9271,-77.0343,852
82,38.901,-77.0159,814
83,38.8928,-76.9765,2640
84,38.9015,-77.001,796
1540,38.9109,-77.0041,793
85,38.9389,-77.0335,2742
86,38.9335,-77.0818,732
87,38.9035,-76.9978,791
88,38.9085,-77.0676,747
89,38.9177,-77.0369,2768
90,38.9271,-77.0343,852
91,38.9266,-77.0347,852
92,38.9007,-76.9923,795
