listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles,price_log,nearest_bus_stop_miles_log,nearby_bus_stops_log,QoL_index
1,38.929782,-76.990611,2700,34,16.5,0.01,171,4,0.35,7.901377353792616,0.009950330853168083,5.147494476813453,0.8956795240578749
2,38.957134,-77.027605,2100,28,14.5,0.06,136,1,0.57,7.650168700845001,0.058268908123975775,4.919980925828125,0.5265746771320994
3,38.873441,-77.01545,1895,28,13.0,0.06,58,1,0.46,7.547501682814967,0.058268908123975775,4.07753744390572,0.3613602210342298
4,38.90716,-77.082872,1998,28,12.7,0.08,47,0,2.76,7.6004023345004,0.07696104113612832,3.871201010907891,0.1534522206655877
5,38.929726,-76.990505,3450,34,16.5,0.02,173,4,0.34,8.146419323098003,0.019802627296179712,5.159055299214529,0.8904771339627937
6,38.902526,-76.974406,1399,34,11.0,0.08,101,3,0.25,7.24422751560335,0.07696104113612832,4.624972813284271,0.4142935035765273
7,38.922605,-77.043993,2175,28,17.3,0.04,149,2,0.83,7.685243607975833,0.039220713153281295,5.0106352940962555,0.8346087891831059
8,38.938797,-76.99482,1795,34,18.3,0.09,146,1,0.98,7.493317248862145,0.08617769624105233,4.990432586778736,0.4561073846532788
9,38.909409,-77.019189,3995,28,18.0,0.01,221,4,0.22,8.293049139768444,0.009950330853168083,5.402677381872279,1.2379048408325244
10,38.880287,-77.017126,2795,28,13.5,0.04,82,1,0.36,7.935945103353701,0.039220713153281295,4.418840607796598,0.42103127275578506
11,38.932627,-77.038482,2420,28,14.0,0.04,125,2,0.18,7.791935956938058,0.039220713153281295,4.836281906951478,0.660426263627794
12,38.956199,-77.020786,2295,28,17.5,0.04,141,0,0.93,7.738923757439457,0.039220713153281295,4.955827057601261,0.5061077080376576
13,38.965173,-77.031399,3595,28,12.8,0.12,131,1,0.7,8.18757739559151,0.11332868530700317,4.882801922586371,0.4225508070719009
14,38.91201,-77.037415,2246,28,15.7,0.04,203,2,0.48,7.717351272185329,0.039220713153281295,5.318119993844216,0.7961256373463254
15,38.895459,-76.980485,4095,34,13.8,0.06,124,3,0.56,8.317766166719343,0.058268908123975775,4.8283137373023015,0.5512513064248988
16,38.90716,-77.082872,3470,28,12.7,0.08,47,0,2.76,8.152198015861787,0.07696104113612832,3.871201010907891,0.143391032425802
17,38.93047,-77.058273,1595,28,15.5,0.1,83,0,1.08,7.3752557780097545,0.09531017980432487,4.430816798843313,0.34772375854993287
18,38.8993046,-76.97712120000001,1995,34,15.8,0.04,113,3,0.47,7.59890045687141,0.039220713153281295,4.736198448394496,0.649753354093344
19,38.932627,-77.038482,2420,28,14.0,0.04,125,2,0.18,7.791935956938058,0.039220713153281295,4.836281906951478,0.660426263627794
20,38.932627,-77.038482,2833,28,14.0,0.04,125,2,0.18,7.949444420250626,0.039220713153281295,4.836281906951478,0.6575543268724404
21,38.908581,-76.983734,1950,34,17.3,0.07,126,1,0.82,7.576097340623111,0.06765864847381481,4.844187086458591,0.3954453894557251
22,38.932247,-77.029449,1150,28,14.2,0.07,164,3,0.63,7.048386408721883,0.06765864847381481,5.10594547390058,0.8737430877538555
23,38.924915,-76.990173,1700,34,15.0,0.05,173,4,0.08,7.438971592395862,0.04879016416943201,5.159055299214529,0.8281893258252342
24,38.902787,-77.018313,2850,28,16.7,0.05,235,2,0.19,7.955425088912672,0.04879016416943201,5.4638318050256105,0.8527642061485207
25,38.906234,-76.98566,1828,34,11.5,0.1,136,2,0.74,7.511524648390866,0.09531017980432487,4.919980925828125,0.29771643293969136
26,38.879508,-77.016563,2700,28,13.5,0.05,74,1,0.36,7.901377353792616,0.04879016416943201,4.31748811353631,0.4078494747360762
27,38.904762,-76.983742,2300,34,14.2,0.07,131,2,0.76,7.741099090035366,0.06765864847381481,4.882801922586371,0.4193648273838859
28,38.923756,-77.040527,2895,28,16.7,0.02,152,3,0.74,7.971085753505607,0.019802627296179712,5.030437921392435,0.9733492102080533
29,38.9334041,-77.0338607,2000,28,15.5,0.07,155,2,0.38,7.601402334583733,0.06765864847381481,5.049856007249537,0.7518159821365963
30,38.898216,-76.981199,1700,34,14.5,0.12,141,3,0.67,7.438971592395862,0.11332868530700317,4.955827057601261,0.6027216711978902
31,38.897617,-76.990791,3200,34,15.0,0.05,149,3,0.29,8.071218539969863,0.04879016416943201,5.0106352940962555,0.6342153813227999
