listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles
1,38.929782,-76.990611,2700,34,16.5,0.01,171,4,0.35
2,38.957134,-77.027605,2100,28,14.5,0.06,136,1,0.57
3,38.873441,-77.01545,1895,28,13.0,0.06,58,1,0.46
4,38.90716,-77.082872,1998,28,12.7,0.08,47,0,2.76
5,38.929726,-76.990505,3450,34,16.5,0.02,173,4,0.34
6,38.902526,-76.974406,1399,34,11.0,0.08,101,3,0.25
7,38.922605,-77.043993,2175,28,17.3,0.04,149,2,0.83
8,38.938797,-76.99482,1795,34,18.3,0.09,146,1,0.98
9,38.909409,-77.019189,3995,28,18.0,0.01,221,4,0.22
10,38.880287,-77.017126,2795,28,13.5,0.04,82,1,0.36
11,38.932627,-77.038482,2420,28,14.0,0.04,125,2,0.18
12,38.956199,-77.020786,2295,28,17.5,0.04,141,0,0.93
13,38.965173,-77.031399,3595,28,12.8,0.12,131,1,0.7
14,38.91201,-77.037415,2246,28,15.7,0.04,203,2,0.48
15,38.895459,-76.980485,4095,34,13.8,0.06,124,3,0.56
16,38.90716,-77.082872,3470,28,12.7,0.08,47,0,2.76
17,38.93047,-77.058273,1595,28,15.5,0.1,83,0,1.08
18,38.8993046,-76.97712120000001,1995,34,15.8,0.04,113,3,0.47
19,38.932627,-77.038482,2420,28,14.0,0.04,125,2,0.18
20,38.932627,-77.038482,2833,28,14.0,0.04,125,2,0.18
21,38.908581,-76.983734,1950,34,17.3,0.07,126,1,0.82
22,38.932247,-77.029449,1150,28,14.2,0.07,164,3,0.63
23,38.924915,-76.990173,1700,34,15.0,0.05,173,4,0.08
24,38.902787,-77.018313,2850,28,16.7,0.05,235,2,0.19
25,38.906234,-76.98566,1828,34,11.5,0.1,136,2,0.74
26,38.879508,-77.016563,2700,28,13.5,0.05,74,1,0.36
27,38.904762,-76.983742,2300,34,14.2,0.07,131,2,0.76
28,38.923756,-77.040527,2895,28,16.7,0.02,152,3,0.74
29,38.9334041,-77.0338607,2000,28,15.5,0.07,155,2,0.38
30,38.898216,-76.981199,1700,34,14.5,0.12,141,3,0.67
31,38.897617,-76.990791,3200,34,15.0,0.05,149,3,0.29
32,38.933433,-77.034635,1700,28,15.5,0.09,152,2,0.34
33,38.923927,-76.99271,3700,34,15.0,0.12,158,4,0.08
34,38.91214,-77.036062,3400,28,14.8,0.03,218,2,0.52
35,38.97752,-77.018265,1995,28,17.7,0.12,86,0,1.8
36,38.897617,-76.990791,2600,34,15.0,0.05,149,3,0.29
37,38.897617,-76.990791,5250,34,15.0,0.05,149,3,0.29
38,38.920641,-76.986895,3395,34,15.2,0.12,155,4,0.22
39,38.907999,-77.041368,2650,28,14.7,0.06,195,2,0.15
40,38.921093,-77.009377,4195,28,9.5,0.03,144,3,0.42
41,38.904045,-77.00108,4250,34,17.8,0.11,143,3,0.34
42,38.958608,-76.993787,3050,28,13.0,0.08,121,0,1.8
43,38.900965,-77.015924,2395,28,16.5,0.1,211,2,0.35
44,38.910946,-77.040276,1995,28,16.8,0.13,196,1,0.36
45,38.928951,-77.020638,3495,28,12.5,0.04,150,2,0.65
46,38.934115,-77.032426,3100,28,18.2,0.03,163,2,0.45
47,38.950159,-77.022311,4195,28,14.5,0.14,159,0,0.96
48,38.922169,-77.08109,1996,28,14.0,0.04,84,0,1.77
49,38.87315,-76.973289,1750,34,14.0,0.05,89,1,0.13
