listing_db_id,latitude,longitude,cluster
1,38.9298,-76.9906,1181
2,38.9571,-77.0276,570
3,38.8734,-77.0154,546
4,38.9072,-77.0829,393
5,38.9297,-76.9905,1181
6,38.9025,-76.9744,641
7,38.9226,-77.044,619
8,38.9388,-76.9948,520
9,38.9094,-77.0192,1286
10,38.8803,-77.0171,563
11,38.9326,-77.0385,1242
12,38.9562,-77.0208,570
13,38.9652,-77.0314,477
14,38.912,-77.0374,684
15,38.8955,-76.9805,658
16,38.9072,-77.0829,393
17,38.9305,-77.0583,1210
18,38.8993,-76.9771,659
19,38.9326,-77.0385,1242
20,38.9326,-77.0385,1242
21,38.9086,-76.9837,1214
22,38.9322,-77.0294,693
23,38.9249,-76.9902,1170
24,38.9028,-77.0183,648
25,38.9062,-76.9857,1203
26,38.8795,-77.0166,1187
27,38.9048,-76.9837,626
28,38.9238,-77.0405,620
29,38.9334,-77.0339,1273
30,38.8982,-76.9812,1221
31,38.8976,-76.9908,1219
32,38.9334,-77.0346,1273
33,38.9239,-76.9927,1170
34,38.9121,-77.0361,684
35,38.9775,-77.0183,459
36,38.8976,-76.9908,598
37,38.8976,-76.9908,598
38,38.9206,-76.9869,478
39,38.908,-77.0414,636
40,38.9211,-77.0094,1235
41,38.904,-77.0011,1194
42,38.9586,-76.9938,464
1498,38.8819,-77.015,1180
43,38.901,-77.0159,631
44,38.9109,-77.0403,685
45,38.929,-77.0206,675
46,38.9341,-77.0324,1300
47,38.9502,-77.0223,1226
48,38.9222,-77.0811,501
49,38.8732,-76.9733,419
50,38.8919,-77.0027,1177
51,38.933,-77.0294,693
52,38.9058,-76.9755,1164
53,38.8734,-77.0154,546
54,38.9094,-77.0324,644
55,38.9478,-77.0167,565
56,38.905,-76.9814,665
57,38.9161,-77.0162,1278
58,38.8731,-77.0126,1174
59,38.9158,-77.0126,671
60,38.9213,-76.9866,478
61,38.9212,-77.0451,1288
62,38.8775,-77.0163,556
63,38.8775,-77.0163,556
64,38.8775,-77.0163,556
65,38.8775,-77.0163,556
66,38.8775,-77.0163,556
67,38.8775,-77.0163,556
68,38.8775,-77.0163,556
69,38.8775,-77.0163,556
70,38.8775,-77.0163,556
71,38.8775,-77.0163,556
72,38.9299,-77.0292,1304
73,38.919,-77.0094,652
74,38.9054,-77.018,1307
75,38.9287,-77.0197,675
76,38.8775,-77.0163,556
77,38.8775,-77.0163,556
78,38.8775,-77.0163,556
79,38.8775,-77.0163,556
80,38.907,-77.0324,654
81,38.9271,-77.0343,704
82,38.901,-77.0159,631
83,38.8928,-76.9765,1208
84,38.9015,-77.001,596
1540,38.9109,-77.0041,579
85,38.9389,-77.0335,1295
86,38.9335,-77.0818,498
87,38.9035,-76.9978,583
88,38.9085,-77.0676,533
89,38.9177,-77.0369,1320
90,38.9271,-77.0343,704
91,38.9266,-77.0347,1272
92,38.9007,-76.9923,598
93,38.9023,-77.0175,648
94,38.9207,-77.0315,698
95,38.9236,-77.0431,620
96,38.907,-77.0324,654
97,38.9023,-77.0175,648
98,38.9163,-77.0492,605
99,38.9023,-77.0175,648
100,38.9299,-77.083,1131
101,38.8811,-77.0166,564
102,38.9272,-77.0339,704
103,38.9195,-77.0129,595
104,38.9622,-77.0195,1142
105,38.9022,-77.0278,1255
106,38.9585,-77.014,566
107,38.9292,-77.0259,1310
108,38.8905,-77.0014,571
109,38.8903,-77.0033,572
110,38.9108,-77.0361,684
111,38.9159,-77.0202,674
112,38.9335,-77.0818,498
113,38.9335,-77.0818,498
114,38.9317,-77.0377,609
115,38.9074,-77.0687,533
116,38.9004,-77.0183,621
117,38.9335,-77.0818,498
118,38.9327,-77.0721,494
119,38.9023,-77.0175,648
120,38.9335,-77.0818,498
121,38.9335,-77.0818,498
122,38.9103,-77.0361,1302
123,38.9479,-76.9946,469
124,38.9004,-77.0183,621
125,38.8903,-77.0033,572
126,38.881,-76.9898,514
127,38.9023,-77.0175,648
128,38.9065,-77.0344,664
129,38.9028,-76.9783,643
130,38.9129,-77.0441,1265
131,38.9088,-77.0491,590
132,38.9004,-77.0183,621
133,38.9335,-77.0818,498
134,38.9229,-77.0332,1261
135,38.9335,-77.0818,498
136,38.8855,-76.9814,577
137,38.9205,-77.0124,595
138,38.9335,-77.0818,498
139,38.9221,-77.0817,501
140,38.881,-76.9898,514
141,38.953,-77.0156,569
142,38.9023,-77.0175,648
143,38.9071,-77.0149,1283
144,38.895,-77.0212,575
145,38.9015,-77.001,596
146,38.9015,-77.001,596
147,38.9023,-77.0175,648
148,38.9023,-77.0175,648
149,38.9023,-77.0175,648
150,38.9023,-77.0175,648
151,38.9335,-77.0818,498
152,38.9335,-77.0818,498
153,38.9099,-77.039,685
154,38.9335,-77.0818,498
155,38.9061,-76.9892,1213
156,38.9335,-77.0818,498
157,38.9133,-77.064,1204
158,38.903,-77.0494,1260
159,38.9138,-77.0154,1278
160,38.8906,-77.0014,571
161,38.9253,-76.9798,460
162,38.9144,-77.0153,1278
163,38.9499,-77.0663,528
164,38.9176,-77.0427,1299
165,38.8907,-77.0015,571
166,38.9212,-77.0446,1288
167,38.9015,-77.001,596
168,38.9624,-77.0726,505
169,38.9023,-77.0175,648
170,38.9015,-77.001,596
171,38.8903,-77.0032,572
172,38.9156,-77.0199,674
173,38.9015,-77.001,596
174,38.9048,-77.0257,637
175,38.9499,-77.0663,528
176,38.9582,-77.0256,570
177,38.9023,-77.0175,648
178,38.8775,-77.0163,556
179,38.9034,-77.0177,663
180,38.9335,-77.0818,498
181,38.9198,-77.0414,1287
182,38.907,-77.0324,654
183,38.9023,-77.0175,648
184,38.8775,-77.0163,556
185,38.9004,-77.0183,621
186,38.9023,-77.0175,648
187,38.9023,-77.0175,648
188,38.8969,-77.046,480
189,38.9358,-77.0819,497
190,38.9358,-77.0819,497
191,38.9267,-77.0386,615
192,38.9109,-77.0041,579
193,38.9437,-77.0612,543
194,38.9358,-77.0819,497
195,38.9008,-77.0169,630
196,38.8752,-77.0063,535
197,38.9327,-77.0721,494
198,38.9109,-77.0041,579
199,38.9052,-77.0063,603
200,38.9276,-77.0062,471
201,38.9172,-77.0337,686
202,38.9428,-77.0611,542
203,38.9104,-77.0222,672
204,38.9041,-77.0174,662
205,38.8847,-76.9585,406
206,38.9103,-77.0086,660
207,38.9359,-77.037,1277
208,38.9028,-77.0518,582
209,38.8756,-77.0078,544
210,38.9504,-77.0665,529
211,38.9069,-77.0507,600
212,38.9065,-77.0355,653
213,38.9086,-77.0343,649
214,38.8803,-77.0065,519
215,38.897,-77.0458,480
216,38.9184,-77.0232,677
217,38.9071,-77.0454,586
218,38.902,-76.9799,643
219,38.9358,-77.0819,497
220,38.9528,-77.0162,569
221,38.9226,-77.0374,632
222,38.9529,-77.0682,522
223,38.9505,-77.0074,504
224,38.9143,-77.0382,683
225,38.9069,-77.0342,664
226,38.9065,-77.0527,580
227,38.9196,-77.0457,614
228,38.902,-76.9799,643
229,38.8784,-77.0183,547
230,38.8803,-77.0065,519
1769,38.8825,-76.9957,511
231,38.8996,-77.0157,622
232,38.9165,-77.0232,669
233,38.8742,-77.0003,484
234,38.9215,-77.081,501
235,38.9065,-77.0355,653
236,38.9529,-77.069,523
237,38.8804,-77.0062,518
238,38.9393,-77.0373,602
239,38.9121,-77.042,1264
240,38.9629,-77.0747,505
241,38.9481,-77.0664,527
242,38.895,-76.9779,658
243,38.8784,-77.0183,547
244,38.8742,-77.0003,484
245,38.8784,-77.0183,547
246,38.9351,-77.0339,611
247,38.924,-77.0531,540
