listing_db_id,latitude,longitude,cluster
1,38.9298,-76.9906,966
2,38.9571,-77.0276,455
3,38.8734,-77.0154,423
4,38.9072,-77.0829,269
5,38.9297,-76.9905,966
6,38.9025,-76.9744,524
7,38.9226,-77.044,510
8,38.9388,-76.9948,405
9,38.9094,-77.0192,1060
10,38.8803,-77.0171,446
11,38.9326,-77.0385,1027
12,38.9562,-77.0208,455
13,38.9652,-77.0314,358
14,38.912,-77.0374,571
15,38.8955,-76.9805,542
16,38.9072,-77.0829,269
17,38.9305,-77.0583,995
18,38.8993,-76.9771,543
19,38.9326,-77.0385,1027
20,38.9326,-77.0385,1027
21,38.9086,-76.9837,1001
22,38.9322,-77.0294,578
23,38.9249,-76.9902,947
24,38.9028,-77.0183,1066
25,38.9062,-76.9857,987
26,38.8795,-77.0166,973
27,38.9048,-76.9837,507
28,38.9238,-77.0405,511
29,38.9334,-77.0339,1053
30,38.8982,-76.9812,1000
31,38.8976,-76.9908,481
32,38.9334,-77.0346,1053
33,38.9239,-76.9927,947
34,38.9121,-77.0361,571
35,38.9775,-77.0183,342
36,38.8976,-76.9908,481
37,38.8976,-76.9908,481
38,38.9206,-76.9869,360
39,38.908,-77.0414,525
40,38.9211,-77.0094,1015
41,38.904,-77.0011,950
42,38.9586,-76.9938,345
1498,38.8819,-77.015,965
43,38.901,-77.0159,515
44,38.9109,-77.0403,572
45,38.929,-77.0206,563
46,38.9341,-77.0324,1075
47,38.9502,-77.0223,1007
48,38.9222,-77.0811,386
49,38.8732,-76.9733,297
50,38.8919,-77.0027,962
51,38.933,-77.0294,578
52,38.9058,-76.9755,952
53,38.8734,-77.0154,423
54,38.9094,-77.0324,531
55,38.9478,-77.0167,450
56,38.905,-76.9814,528
57,38.9161,-77.0162,1051
58,38.8731,-77.0126,955
59,38.9158,-77.0126,556
60,38.9213,-76.9866,360
61,38.9212,-77.0451,1062
62,38.8775,-77.0163,439
63,38.8775,-77.0163,439
64,38.8775,-77.0163,439
65,38.8775,-77.0163,439
66,38.8775,-77.0163,439
67,38.8775,-77.0163,439
68,38.8775,-77.0163,439
69,38.8775,-77.0163,439
70,38.8775,-77.0163,439
71,38.8775,-77.0163,439
72,38.9299,-77.0292,1091
73,38.919,-77.0094,537
74,38.9054,-77.018,1077
75,38.9287,-77.0197,563
76,38.8775,-77.0163,439
77,38.8775,-77.0163,439
78,38.8775,-77.0163,439
79,38.8775,-77.0163,439
80,38.907,-77.0324,539
81,38.9271,-77.0343,591
82,38.901,-77.0159,515
83,38.8928,-76.9765,994
84,38.9015,-77.001,485
1540,38.9109,-77.0041,464
85,38.9389,-77.0335,1071
86,38.9335,-77.0818,383
87,38.9035,-76.9978,951
88,38.9085,-77.0676,426
89,38.9177,-77.0369,1090
90,38.9271,-77.0343,591
91,38.9266,-77.0347,1047
92,38.9007,-76.9923,481
93,38.9023,-77.0175,549
94,38.9207,-77.0315,583
95,38.9236,-77.0431,511
96,38.907,-77.0324,539
97,38.9023,-77.0175,549
98,38.9163,-77.0492,491
99,38.9023,-77.0175,549
100,38.9299,-77.083,918
101,38.8811,-77.0166,447
102,38.9272,-77.0339,591
103,38.9195,-77.0129,484
104,38.9622,-77.0195,927
105,38.9022,-77.0278,1035
106,38.9585,-77.014,453
107,38.9292,-77.0259,1099
108,38.8905,-77.0014,456
109,38.8903,-77.0033,457
110,38.9108,-77.0361,571
111,38.9159,-77.0202,560
112,38.9335,-77.0818,383
113,38.9335,-77.0818,383
114,38.9317,-77.0377,495
115,38.9074,-77.0687,426
116,38.9004,-77.0183,509
117,38.9335,-77.0818,383
118,38.9327,-77.0721,379
119,38.9023,-77.0175,549
120,38.9335,-77.0818,383
121,38.9335,-77.0818,383
122,38.9103,-77.0361,1073
123,38.9479,-76.9946,349
124,38.9004,-77.0183,509
125,38.8903,-77.0033,457
126,38.881,-76.9898,404
127,38.9023,-77.0175,549
128,38.9065,-77.0344,544
129,38.9028,-76.9783,1010
130,38.9129,-77.0441,1041
131,38.9088,-77.0491,476
132,38.9004,-77.0183,509
133,38.9335,-77.0818,383
134,38.9229,-77.0332,1039
135,38.9335,-77.0818,383
136,38.8855,-76.9814,462
137,38.9205,-77.0124,484
138,38.9335,-77.0818,383
139,38.9221,-77.0817,386
140,38.881,-76.9898,404
141,38.953,-77.0156,454
142,38.9023,-77.0175,549
143,38.9071,-77.0149,1058
144,38.895,-77.0212,460
145,38.9015,-77.001,485
146,38.9015,-77.001,485
147,38.9023,-77.0175,549
148,38.9023,-77.0175,549
149,38.9023,-77.0175,549
150,38.9023,-77.0175,549
151,38.9335,-77.0818,383
152,38.9335,-77.0818,383
153,38.9099,-77.039,572
154,38.9335,-77.0818,383
155,38.9061,-76.9892,970
156,38.9335,-77.0818,383
157,38.9133,-77.064,985
158,38.903,-77.0494,1020
159,38.9138,-77.0154,1051
160,38.8906,-77.0014,456
161,38.9253,-76.9798,343
162,38.9144,-77.0153,1051
163,38.9499,-77.0663,416
164,38.9176,-77.0427,1069
165,38.8907,-77.0015,456
166,38.9212,-77.0446,1062
167,38.9015,-77.001,485
168,38.9624,-77.0726,390
169,38.9023,-77.0175,549
170,38.9015,-77.001,485
171,38.8903,-77.0032,457
172,38.9156,-77.0199,560
173,38.9015,-77.001,485
174,38.9048,-77.0257,522
175,38.9499,-77.0663,416
176,38.9582,-77.0256,455
177,38.9023,-77.0175,549
178,38.8775,-77.0163,439
179,38.9034,-77.0177,553
180,38.9335,-77.0818,383
181,38.9198,-77.0414,1061
182,38.907,-77.0324,539
183,38.9023,-77.0175,549
184,38.8775,-77.0163,439
185,38.9004,-77.0183,509
186,38.9023,-77.0175,549
187,38.9023,-77.0175,549
188,38.8969,-77.046,363
189,38.9358,-77.0819,382
190,38.9358,-77.0819,382
191,38.9267,-77.0386,497
192,38.9109,-77.0041,464
193,38.9437,-77.0612,432
194,38.9358,-77.0819,382
195,38.9008,-77.0169,514
196,38.8752,-77.0063,419
197,38.9327,-77.0721,379
198,38.9109,-77.0041,464
199,38.9052,-77.0063,489
200,38.9276,-77.0062,351
201,38.9172,-77.0337,575
202,38.9428,-77.0611,431
203,38.9104,-77.0222,559
204,38.9041,-77.0174,552
205,38.8847,-76.9585,285
206,38.9103,-77.0086,547
207,38.9359,-77.037,1057
208,38.9028,-77.0518,467
209,38.8756,-77.0078,427
210,38.9504,-77.0665,417
211,38.9069,-77.0507,483
212,38.9065,-77.0355,538
213,38.9086,-77.0343,535
214,38.8803,-77.0065,402
215,38.897,-77.0458,363
216,38.9184,-77.0232,558
217,38.9071,-77.0454,474
218,38.902,-76.9799,529
219,38.9358,-77.0819,382
220,38.9528,-77.0162,454
221,38.9226,-77.0374,520
222,38.9529,-77.0682,409
223,38.9505,-77.0074,389
224,38.9143,-77.0382,565
225,38.9069,-77.0342,544
226,38.9065,-77.0527,465
227,38.9196,-77.0457,503
228,38.902,-76.9799,529
229,38.8784,-77.0183,424
230,38.8803,-77.0065,402
1769,38.8825,-76.9957,395
231,38.8996,-77.0157,512
232,38.9165,-77.0232,550
233,38.8742,-77.0003,369
234,38.9215,-77.081,386
235,38.9065,-77.0355,538
236,38.9529,-77.069,410
237,38.8804,-77.0062,401
238,38.9393,-77.0373,488
239,38.9121,-77.042,1040
240,38.9629,-77.0747,390
241,38.9481,-77.0664,415
242,38.895,-76.9779,542
243,38.8784,-77.0183,424
244,38.8742,-77.0003,369
245,38.8784,-77.0183,424
246,38.9351,-77.0339,498
247,38.924,-77.0531,429
248,38.9163,-77.0322,576
249,38.9042,-77.0286,532
250,38.939,-77.0611,400
251,38.902,-76.9799,529
252,38.9104,-77.0222,559
253,38.8797,-77.0141,434
254,38.9095,-77.0484,475
255,38.9028,-77.0054,479
256,38.9215,-77.081,386
257,38.9172,-77.0337,575
258,38.9086,-77.0343,535
259,38.9351,-77.0339,498
260,38.9086,-77.0343,535
261,38.9412,-77.002,368
262,38.8997,-76.9942,481
263,38.9103,-77.0558,458
264,38.9175,-77.0682,375
265,38.9073,-76.9981,473
266,38.9504,-77.0665,417
267,38.8746,-77.0003,369
268,38.8996,-77.0157,512
269,38.9103,-77.0086,547
270,38.9017,-77.035,451
271,38.8795,-77.0056,418
272,38.9437,-77.0612,432
273,38.8804,-77.0062,401
274,38.9078,-77.034,554
275,38.9379,-77.0239,517
276,38.929,-77.0543,442
277,38.9171,-77.0227,551
278,38.9235,-77.0423,511
279,38.9065,-77.0355,538
280,38.897,-77.0458,363
281,38.9225,-77.0435,510
282,38.8999,-76.9974,480
283,38.9165,-77.0232,550
284,38.917,-77.0472,490
285,38.9318,-77.0376,495
286,38.9358,-77.0819,382
287,38.9362,-77.0557,406
288,38.9071,-77.0454,474
289,38.9075,-77.0323,540
290,38.8797,-77.0141,434
291,38.9104,-77.0222,559
292,38.9343,-77.072,380
293,38.9041,-77.0174,552
294,38.8803,-77.0065,402
295,38.9069,-77.0342,544
296,38.9172,-77.0337,575
297,38.9437,-77.0612,432
298,38.8803,-77.0065,402
299,38.8756,-77.0078,427
300,38.9245,-77.031,593
301,38.9069,-77.0342,544
302,38.9095,-77.0484,475
303,38.9293,-77.0734,392
304,38.9165,-77.0232,550
305,38.9557,-77.011,453
306,38.9227,-77.0292,590
307,38.9047,-77.0519,478
308,38.9103,-77.0086,547
309,38.8742,-77.0003,369
310,38.9151,-76.9718,867
311,38.8797,-77.0141,434
312,38.8791,-77.0134,435
