X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
401257,135070,23045389,2023/03/24 06:36:26+00,MIDNIGHT,GUN,ROBBERY,400 - 499 BLOCK OF 14TH STREET SE,401257,135070,6,6B,1,107,Cluster 26,006900 2,006900,Precinct 91,38.8834660235,-76.9855124195,,2023/03/24 04:40:00+00,2023/03/24 05:00:00+00,699593362,
398945,136609,23059942,2023/04/18 01:18:38+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1ST STREET NW AND F STREET NW,398945,136609,6,6E,1,101,Cluster 8,005900 2,005900,Precinct 1,38.8973301763,-77.0121617883,DOWNTOWN,2023/04/15 22:00:00+00,2023/04/18 00:05:00+00,699593430,
396838,140360,23063172,2023/04/24 03:41:45+00,MIDNIGHT,OTHERS,BURGLARY,3200 - 3299 BLOCK OF 16TH STREET NW,396838,140360,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 40,38.9311153849,-77.0364680537,,2023/04/23 17:34:00+00,2023/04/23 19:32:00+00,699593431,
397095,137532,23011569,2023/01/22 16:49:13+00,DAY,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF M STREET NW,397095,137532,2,2C,2,207,Cluster 8,010100 1,010100,Precinct 17,38.9056407215,-77.0334920493,DOWNTOWN,2023/01/21 16:30:00+00,2023/01/22 15:50:00+00,699593469,
402363,130873,23014252,2023/01/27 14:48:38+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3400 - 3799 BLOCK OF 22ND STREET SE,402363,130873,8,8E,7,704,Cluster 38,007409 2,007409,Precinct 116,38.8456554359,-76.972779617,,2023/01/26 22:30:00+00,2023/01/27 12:00:00+00,699593470,
399889,128757,23015581,2023/01/29 18:19:19+00,DAY,OTHERS,MOTOR VEHICLE THEFT,300 - 399 BLOCK OF LIVINGSTON TERRACE SE,399889,128757,8,8E,7,708,Cluster 39,009811 1,009811,Precinct 125,38.8265967099,-77.001278314,,2023/01/29 16:35:00+00,2023/01/29 18:10:00+00,699593471,
403992,135998,23041462,2023/03/17 17:53:48+00,DAY,OTHERS,MOTOR VEHICLE THEFT,100 - 222 BLOCK OF 35TH STREET NE,403992,135998,7,7F,6,603,Cluster 32,009603 3,009603,Precinct 102,38.8918176336,-76.9539847304,,2023/03/16 20:00:00+00,2023/03/17 11:50:00+00,699593510,
401701,136862,23056603,2023/04/12 15:08:14+00,DAY,OTHERS,THEFT/OTHER,1516 - 1699 BLOCK OF BENNING ROAD NE,401701,136862,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.8996082789,-76.9803906515,,2023/04/12 13:46:00+00,2023/04/12 14:27:00+00,699593523,
398597,137252,23057157,2023/04/13 07:15:25+00,MIDNIGHT,GUN,ROBBERY,1000 - 1099 BLOCK OF 4TH STREET NW,398597,137252,6,6E,1,101,Cluster 8,004703 4,004703,Precinct 1,38.9031220639,-77.0161747625,MOUNT VERNON TRIANGLE CID,2023/04/13 01:30:00+00,2023/04/13 01:35:00+00,699593524,
401412,133241,23057188,2023/04/13 10:37:27+00,MIDNIGHT,GUN,ROBBERY,1400 - 1444 BLOCK OF MINNESOTA AVENUE SE,401412,133241,8,8A,6,607,Cluster 34,007601 5,007601,Precinct 140,38.8669894294,-76.9837297208,,2023/04/13 07:54:00+00,2023/04/13 10:00:00+00,699593525,
